Elaborado el... 2007-11-15
Mes: 1 de Febrero de 2007 al 28 de Febrero de 2007
CODIGO | PLAN | FECHA REGISTRO | HORA INGRESO | HORA SALIDA | SALA | No. EQUIPO | TIPO USO

0522412 |3846 | 2007-02-26 | 10:22:22 | 11:20:26 | idiomas | pc15 | Practica
0633828 |3842 | 2007-02-26 | 10:19:21 | 11:17:25 | idiomas | pc16 | Practica
0327119 |3857 | 2007-02-26 | 10:28:37 | 11:26:41 | idiomas | pc17 | Practica
0327119 |3857 | 2007-02-26 | 10:18:47 | 11:16:51 | idiomas | pc17 | Practica
0133566 |3846 | 2007-02-26 | 11:45:19 | 12:43:23 | idiomas | pc18 | Practica
0334058 |3857 | 2007-02-26 | 10:15:45 | 11:13:49 | idiomas | pc18 | Practica
0522158 |3857 | 2007-02-26 | 09:50:04 | 10:48:08 | idiomas | pc19 | Practica
0522412 |3846 | 2007-02-26 | 10:43:19 | 11:41:24 | idiomas | pc19 | Practica
0522108 |3857 | 2007-02-26 | 09:35:00 | 10:33:03 | idiomas | pc20 | Practica
0522412 |3846 | 2007-02-26 | 10:30:27 | 11:28:31 | idiomas | pc21 | Practica
0522279 |3857 | 2007-02-26 | 09:31:46 | 10:29:50 | idiomas | pc21 | Practica
0522158 |3857 | 2007-02-26 | 09:28:42 | 10:26:46 | idiomas | pc22 | Practica
0444268 |3748 | 2007-02-27 | 10:55:49 | 11:53:55 | idiomas | pc20 | Practica
0444268 |3748 | 2007-02-27 | 09:59:39 | 10:57:45 | idiomas | pc20 | Practica
0522240 |3857 | 2007-02-27 | 09:44:09 | 10:42:14 | idiomas | pc21 | Practica
0522278 |3857 | 2007-02-27 | 09:43:37 | 10:41:44 | idiomas | pc22 | Practica
16599586 |3333 | 2007-02-28 | 11:20:28 | 12:18:27 | idiomas | pc16 | Practica
16728988 |3333 | 2007-02-28 | 11:14:17 | 12:12:16 | idiomas | pc17 | Practica
0327935 |3846 | 2007-02-28 | 10:03:40 | 11:01:39 | idiomas | pc18 | Practica
0332710 |3846 | 2007-02-28 | 10:01:17 | 10:59:16 | idiomas | pc19 | Practica
0227416 |3845 | 2007-02-28 | 18:02:10 | 19:00:09 | idiomas | pc19 | Clase
0522104 |3857 | 2007-02-28 | 09:56:16 | 10:54:14 | idiomas | pc20 | Practica
0522423 |3857 | 2007-02-28 | 16:50:15 | 17:48:14 | idiomas | pc20 | Practica
0244253 |3845 | 2007-02-28 | 17:33:45 | 18:31:45 | idiomas | pc20 | Practica
0522108 |3857 | 2007-02-28 | 16:10:47 | 17:08:47 | idiomas | pc21 | Practica
6459706 |1111 | 2007-02-28 | 11:08:24 | 12:06:22 | idiomas | pc21 | Practica
0229080 |3845 | 2007-02-28 | 17:33:25 | 18:31:25 | idiomas | pc21 | Practica
31162165 |1111 | 2007-02-28 | 14:37:25 | 15:35:24 | idiomas | pc22 | Practica


Elaborado el... 2007-11-15
Mes: 1 de Marzo de 2007 al 31 de Marzo de 2007
CODIGO | PLAN | FECHA REGISTRO | HORA INGRESO | HORA SALIDA | SALA | No. EQUIPO | TIPO USO

0522208 |3857 | 2007-03-01 | 10:04:25 | 11:02:27 | idiomas | pc01 | Practica
0434775 |3857 | 2007-03-01 | 10:58:28 | 11:56:29 | idiomas | pc10 | Practica
16671997 |1111 | 2007-03-01 | 10:17:26 | 11:15:27 | idiomas | pc15 | Practica
16484361 |1111 | 2007-03-01 | 10:17:56 | 11:15:58 | idiomas | pc16 | Practica
16484361 |1111 | 2007-03-01 | 10:17:56 | 11:16:44 | idiomas | pc16 | Practica
16484361 |1111 | 2007-03-01 | 09:46:17 | 10:44:18 | idiomas | pc17 | Practica
0444268 |3748 | 2007-03-01 | 17:15:41 | 18:13:44 | idiomas | pc18 | Practica
0522240 |3857 | 2007-03-01 | 08:53:35 | 09:51:36 | idiomas | pc18 | Practica
0342175 |3857 | 2007-03-01 | 16:55:30 | 17:53:33 | idiomas | pc19 | Practica
0522104 |3857 | 2007-03-01 | 08:53:07 | 09:51:08 | idiomas | pc19 | Practica
0522158 |3857 | 2007-03-01 | 17:22:05 | 18:20:08 | idiomas | pc20 | Practica
0444268 |3748 | 2007-03-01 | 08:51:57 | 09:49:58 | idiomas | pc20 | Practica
0227416 |3845 | 2007-03-01 | 16:12:17 | 17:10:19 | idiomas | pc20 | Practica
0434555 |3857 | 2007-03-01 | 09:35:42 | 10:33:43 | idiomas | pc21 | Practica
0334058 |3857 | 2007-03-01 | 16:06:54 | 17:04:57 | idiomas | pc21 | Practica
31216051 |1111 | 2007-03-01 | 08:21:05 | 09:19:06 | idiomas | pc21 | Practica
0332710 |3846 | 2007-03-01 | 08:14:18 | 09:12:19 | idiomas | pc22 | Practica
0522108 |3857 | 2007-03-01 | 17:00:33 | 17:58:36 | idiomas | pc22 | Practica
6459706 |1111 | 2007-03-01 | 15:31:00 | 16:29:03 | idiomas | pc22 | Practica
0332710 |3846 | 2007-03-02 | 08:11:31 | 09:09:30 | idiomas | pc01 | Practica
0232681 |3846 | 2007-03-02 | 09:10:13 | 10:08:14 | idiomas | pc02 | Practica
0226807 |3845 | 2007-03-02 | 09:42:22 | 10:40:23 | idiomas | pc03 | Clase
0422360 |3846 | 2007-03-02 | 09:16:46 | 10:14:46 | idiomas | pc04 | Practica
0422208 |3846 | 2007-03-02 | 09:17:10 | 10:15:10 | idiomas | pc05 | Practica
0522301 |3857 | 2007-03-02 | 10:10:34 | 11:08:35 | idiomas | pc06 | Practica
0522108 |3857 | 2007-03-02 | 10:16:43 | 11:14:44 | idiomas | pc08 | Practica
0522208 |3857 | 2007-03-02 | 10:45:54 | 11:43:54 | idiomas | pc10 | Practica
0422360 |3846 | 2007-03-02 | 15:02:03 | 16:00:05 | idiomas | pc19 | Practica
0422264 |3857 | 2007-03-02 | 14:40:05 | 15:38:06 | idiomas | pc19 | Practica
0731954 |3846 | 2007-03-02 | 14:37:25 | 15:35:26 | idiomas | pc20 | Practica
0522178 |3857 | 2007-03-02 | 14:31:48 | 15:29:49 | idiomas | pc21 | Practica
0522108 |3857 | 2007-03-02 | 17:03:48 | 18:01:50 | idiomas | pc22 | Practica
0232681 |3846 | 2007-03-02 | 14:28:38 | 15:26:39 | idiomas | pc22 | Practica
0234760 |3845 | 2007-03-02 | 15:11:44 | 16:09:45 | idiomas | pc22 | Practica
6459706 |1111 | 2007-03-03 | 14:21:54 | 15:19:57 | idiomas | pc03 | Practica
0522108 |3857 | 2007-03-03 | 14:57:09 | 15:55:13 | idiomas | pc05 | Practica
0441903 |3857 | 2007-03-03 | 15:01:55 | 15:59:58 | idiomas | pc07 | Practica
16253860 |1111 | 2007-03-05 | 08:58:42 | 09:56:49 | idiomas | pc01 | Practica
0735807 |3846 | 2007-03-05 | 09:27:30 | 10:25:36 | idiomas | pc20 | Practica
0522108 |3857 | 2007-03-05 | 09:21:02 | 10:19:09 | idiomas | pc21 | Practica
0522208 |3857 | 2007-03-05 | 10:35:43 | 11:33:50 | idiomas | pc22 | Practica
0332710 |3846 | 2007-03-05 | 08:49:16 | 09:47:22 | idiomas | pc22 | Practica
16253860 |1111 | 2007-03-06 | 08:09:02 | 09:07:11 | idiomas | pc01 | Practica
16704493 |1111 | 2007-03-06 | 11:13:40 | 12:11:49 | idiomas | pc01 | Practica
0444268 |3748 | 2007-03-06 | 08:21:24 | 09:19:32 | idiomas | pc03 | Practica
0431136 |3857 | 2007-03-06 | 10:11:12 | 11:09:20 | idiomas | pc05 | Practica
0505278 |7878 | 2007-03-06 | 08:32:17 | 09:30:26 | idiomas | pc05 | Practica
0735807 |3846 | 2007-03-06 | 08:39:48 | 09:37:57 | idiomas | pc07 | Practica
0441414 |3857 | 2007-03-06 | 10:02:11 | 11:00:20 | idiomas | pc09 | Practica
0444268 |3748 | 2007-03-07 | 14:21:20 | 15:19:32 | idiomas | pc01 | Practica
0232602 |3846 | 2007-03-07 | 14:27:02 | 15:25:14 | idiomas | pc02 | Practica
0533528 |3842 | 2007-03-07 | 10:11:38 | 11:09:49 | idiomas | pc17 | Practica
0538900 |3842 | 2007-03-07 | 10:11:21 | 11:09:32 | idiomas | pc18 | Practica
0622240 |3842 | 2007-03-07 | 09:42:58 | 10:41:08 | idiomas | pc19 | Practica
0444268 |3748 | 2007-03-07 | 10:15:58 | 11:14:09 | idiomas | pc20 | Practica
0622449 |3842 | 2007-03-07 | 09:42:16 | 10:40:27 | idiomas | pc21 | Practica
0505278 |7878 | 2007-03-07 | 14:06:55 | 15:05:07 | idiomas | pc22 | Practica
0505278 |7878 | 2007-03-07 | 09:06:03 | 10:04:14 | idiomas | pc22 | Practica
0505278 |7878 | 2007-03-08 | 08:25:34 | 09:23:38 | idiomas | pc01 | Practica
0522208 |3857 | 2007-03-08 | 11:05:35 | 12:03:40 | idiomas | pc01 | Practica
31162165 |1111 | 2007-03-08 | 11:05:57 | 12:04:02 | idiomas | pc03 | Practica
0332513 |3857 | 2007-03-08 | 11:11:25 | 12:09:30 | idiomas | pc05 | Practica
0505278 |7878 | 2007-03-08 | 14:18:57 | 15:17:02 | idiomas | pc11 | Practica
0735807 |3846 | 2007-03-08 | 17:15:06 | 18:13:12 | idiomas | pc16 | Practica
0626491 |3842 | 2007-03-08 | 16:57:37 | 17:55:43 | idiomas | pc18 | Practica
0623726 |3842 | 2007-03-08 | 16:57:19 | 17:55:25 | idiomas | pc20 | Practica
0031423 |3841 | 2007-03-08 | 16:00:24 | 16:58:30 | idiomas | pc22 | Practica
0505278 |7878 | 2007-03-09 | 14:08:19 | 15:08:19 | idiomas | pc01 | Practica
0281517 |2711 | 2007-03-09 | 10:16:45 | 11:14:35 | idiomas | pc01 | Clase
0281517 |2711 | 2007-03-09 | 10:12:30 | 11:10:19 | idiomas | pc01 | Clase
0281517 |2711 | 2007-03-09 | 10:30:39 | 11:30:39 | idiomas | pc01 | Practica
0281517 |2711 | 2007-03-09 | 10:13:29 | 11:11:19 | idiomas | pc01 | Practica
0281517 |2711 | 2007-03-09 | 10:13:49 | 11:11:39 | idiomas | pc01 | Practica
0444247 |3857 | 2007-03-09 | 14:17:43 | 15:17:43 | idiomas | pc02 | Practica
0445102 |3857 | 2007-03-09 | 14:19:11 | 15:19:11 | idiomas | pc03 | Practica
0522301 |3857 | 2007-03-09 | 10:23:14 | 11:21:22 | idiomas | pc03 | Practica
0422147 |3842 | 2007-03-09 | 14:20:43 | 15:20:43 | idiomas | pc04 | Practica
0522108 |3857 | 2007-03-09 | 10:23:41 | 11:21:49 | idiomas | pc05 | Practica
0422114 |3842 | 2007-03-09 | 14:21:25 | 15:21:25 | idiomas | pc05 | Practica
0329242 |3842 | 2007-03-09 | 15:14:58 | 16:14:58 | idiomas | pc06 | Practica
0328705 |3842 | 2007-03-09 | 15:17:37 | 16:17:37 | idiomas | pc07 | Practica
0434775 |3857 | 2007-03-09 | 15:12:55 | 16:12:55 | idiomas | pc11 | Practica
0505278 |7878 | 2007-03-09 | 09:14:51 | 10:12:59 | idiomas | pc14 | Practica
0444268 |3748 | 2007-03-09 | 11:09:52 | 12:09:52 | idiomas | pc16 | Practica
0433607 |3857 | 2007-03-09 | 11:04:02 | 12:04:02 | idiomas | pc18 | Practica
0730114 |3857 | 2007-03-09 | 10:17:28 | 11:15:36 | idiomas | pc20 | Practica
0735807 |3846 | 2007-03-09 | 10:07:39 | 11:05:47 | idiomas | pc22 | Practica
